"","CNTRYID","CNTSCHID","age","sex","ESCS","SES","MATH","growth"
"77",360,36000044,16,0,0.5202,1.89070411935308,511.6119,"1"
"78",360,36000412,16,0,0.4595,1.83242527508848,360.0274,"1"
"79",360,36000121,16,1,-2.1216,-0.645721758377108,430.3281,"1"
"80",360,36000299,16,0,-0.9727,0.457351786525692,447.9624,"0"
"81",360,36000293,16,0,-2.4286,-0.940476374344694,348.7648,"0"
"82",360,36000082,16,0,1.5873,2.91524044084823,489.0565,"1"
"83",360,36000011,16,1,-0.5709,0.843125091723659,462.4395,"1"
"84",360,36000279,16,0,-1.8232,-0.359224112107637,427.1345,"1"
"85",360,36000180,16,0,-1.3979,0.0491118428468072,437.0156,"0"
"86",360,36000249,16,0,-0.6286,0.787726585725843,377.9193,"1"
"87",360,36000236,16,0,0.2758,1.65605256188573,310.3499,"0"
"88",360,36000143,16,0,-2.5678,-1.07412406992348,230.0481,"0"
"89",360,36000029,16,0,0.304,1.6831277415935,404.7089,"0"
"90",360,36000186,16,0,-1.9983,-0.527339855612276,370.3743,"0"
"91",360,36000106,16,0,-2.2963,-0.81345345677951,297.0356,"0"
"92",360,36000128,16,0,-4.2797,-2.71774109622612,329.4313,"0"
"93",360,36000041,16,0,-1.7621,-0.300561222740798,368.479,"0"
"94",360,36000375,16,0,-0.6992,0.719942625180854,297.5311,"0"
"95",360,36000094,16,1,0.0554,1.44444371055265,459.144,"1"
"96",360,36000341,16,1,-0.4207,0.98733402761399,349.7686,"0"
"97",360,36000263,16,0,-1.4396,0.00907514093850632,463.1726,"1"
"98",360,36000348,17,0,-1.9075,-0.440161617404274,338.2948,"0"
"99",360,36000158,16,1,-3.0729,-1.55907702277439,285.4998,"0"
"100",360,36000110,16,0,-0.1527,1.24464424611338,372.4029,"0"
"101",360,36000331,16,0,-1.5749,-0.120828114893462,441.9811,"1"
"102",360,36000293,16,0,-2.7776,-1.27555572604726,370.5432,"0"
"103",360,36000337,16,1,-0.4154,0.992422625218642,351.1699,"0"
"104",360,36000225,16,1,0.7631,2.12391550768705,429.8971,"1"
"105",360,36000087,16,0,-2.5844,-1.09006194166636,319.5839,"0"
"106",360,36000310,16,1,-2.2357,-0.755270623790468,342.7359,"0"
"107",360,36000307,16,1,-0.8403,0.584470715366436,292.9828,"1"
"108",360,36000124,16,1,-2.2276,-0.747493710470151,322.5924,"0"
"109",360,36000039,16,0,-1.5202,-0.06830994716243,386.6537,"1"
"110",360,36000012,16,0,-1.7778,-0.315634993003636,417.9573,"1"
"111",360,36000066,16,0,-1.3234,0.120640243138616,405.6796,"0"
"112",360,36000404,16,1,-1.1681,0.269745754082479,280.4953,"0"
"113",360,36000077,16,0,-0.5095,0.902076014917177,359.5608,"0"
"114",360,36000378,16,1,-0.8667,0.559123738618734,314.0822,"0"
"115",360,36000268,16,1,-1.8319,-0.367577093081311,309.7273,"0"
"116",360,36000313,16,1,-3.516,-1.98450298477842,327.4243,"1"
"117",360,36000027,16,1,-2.0896,-0.614998150198076,511.4947,"0"
"118",360,36000024,16,1,-1.4573,-0.00791885483552068,504.6013,"0"
"119",360,36000370,16,0,-2.6912,-1.19260198396387,344.1559,"0"
"120",360,36000020,16,0,-1.3601,0.0854041050082883,380.4083,"0"
"121",360,36000010,16,0,-1.6078,-0.152415824552529,366.587,"0"
"122",360,36000016,16,1,-1.1512,0.28597165965203,322.0388,"0"
"123",360,36000394,16,0,-1.7764,-0.314290835145803,449.9695,"1"
"124",360,36000364,16,1,-2.064,-0.590419263654851,366.3029,"1"
"125",360,36000119,16,1,-2.788,-1.28554089870544,325.2078,"0"
"126",360,36000331,16,1,-0.9314,0.497004443331755,332.4031,"0"
"127",360,36000205,16,1,-0.9714,0.458599933107965,463.7597,"0"
"128",360,36000374,16,1,-2.2027,-0.723586902855842,271.9533,"1"
"129",360,36000371,16,0,-1.6453,-0.188420052887332,456.9496,"1"
"130",360,36000058,16,0,0.5403,1.91000238574054,365.5273,"0"
"131",360,36000237,16,1,-1.635,-0.178530891504706,366.1201,"1"
"132",360,36000136,16,0,-0.1173,1.27863223766143,328.6673,"1"
"133",360,36000206,16,1,-2.6529,-1.15582966542459,374.1604,"1"
"134",360,36000140,16,1,0.1302,1.51626014467113,381.8361,"0"
"135",360,36000283,16,0,-0.1816,1.21689698747669,298.2544,"0"
"136",360,36000181,16,0,0.4197,1.79421278741581,560.179,"1"
"137",360,36000272,16,0,-1.8151,-0.35144719878732,419.6162,"1"
"138",360,36000089,16,1,-1.7998,-0.33675747362672,361.5166,"0"
"139",360,36000051,16,0,-3.95,-2.40119192070654,291.1693,"0"
"140",360,36000247,16,1,-1.5339,-0.081463491914078,449.2023,"0"
"141",360,36000409,16,1,-2.6214,-1.12558611362336,317.1321,"0"
"142",360,36000412,16,0,-2.3164,-0.832751723166964,374.2353,"1"
"143",360,36000411,16,1,-0.3214,1.08267322424455,492.6727,"1"
"144",360,36000313,16,1,-1.468,-0.0181920613203844,345.8814,"1"
"145",360,36000011,16,0,-0.2836,1.11896548640603,442.0386,"0"
"146",360,36000372,16,0,-1.5014,-0.0502598273572489,354.8782,"0"
"147",360,36000151,16,0,-2.6744,-1.17647208966988,466.786,"1"
"148",360,36000319,16,0,-1.3785,0.067738030305345,363.0693,"0"
"149",360,36000111,16,1,0.9936,2.34522149785163,484.2709,"1"
"150",360,36000159,16,0,0.6556,2.02070338646061,330.2077,"0"
"151",360,36000049,16,1,-1.6708,-0.212902928154998,369.214,"0"
"152",360,36000011,16,1,0.3131,1.69186476766941,474.485,"1"
"153",360,36000362,16,1,-1.5847,-0.130237219898291,388.4359,"0"
"154",360,36000198,16,1,-1.9295,-0.461284098027358,393.4392,"1"
"155",360,36000286,16,0,-1.2551,0.186215944345736,369.3536,"0"
"156",360,36000409,16,0,-1.9109,-0.443426000773296,276.6046,"0"
"157",360,36000128,16,0,-1.3268,0.117375859769593,448.6184,"1"
"158",360,36000069,16,1,-0.6899,0.728871673807885,469.074,"0"
"159",360,36000360,16,1,-2.1773,-0.699200038863735,291.2901,"0"
"160",360,36000403,16,1,-1.5023,-0.051123928837284,425.9479,"0"
"161",360,36000271,16,0,-1.1197,0.316215211453265,418.6328,"0"
"162",360,36000230,16,1,-1.8588,-0.39340412620681,367.3901,"0"
"163",360,36000247,16,0,-1.5339,-0.081463491914078,441.3752,"0"
"164",360,36000406,16,0,-1.8335,-0.369113273490263,457.3409,"1"
"165",360,36000115,16,0,-0.4323,0.976196719649091,414.6827,"1"
"166",360,36000136,16,0,0.1764,1.56061735397961,406.8747,"0"
"167",360,36000135,16,0,-1.4333,0.0151238512987532,270.6121,"0"
"168",360,36000398,16,0,-0.9882,0.442470038813973,523.9924,"1"
"169",360,36000185,16,1,-0.9303,0.498060567362909,312.234,"0"
"170",360,36000095,16,1,-1.9854,-0.514954401065104,378.5587,"0"
"171",360,36000369,16,1,0.6684,2.03299282973222,454.4852,"1"
"172",360,36000001,16,1,-0.7684,0.653502822493698,447.3636,"0"
"173",360,36000130,16,1,-3.8992,-2.35241819272232,324.9099,"1"
"174",360,36000166,16,0,-0.879,0.547314351724919,338.3632,"1"
"175",360,36000378,16,0,-0.2115,1.18818961608441,405.8434,"1"
"176",360,36000022,16,0,-1.1063,0.329080722378234,424.034,"1"
"177",360,36000247,16,0,-1.5339,-0.081463491914078,433.1,"0"
"178",360,36000303,16,1,-0.5396,0.873176620973775,417.2737,"1"
"179",360,36000390,16,0,-3.6429,-2.10634129346339,353.4692,"0"
"180",360,36000102,16,1,-0.4937,0.917245796455574,448.2921,"1"
"181",360,36000214,16,0,-2.3822,-0.895927142485098,414.4003,"1"
"182",360,36000213,16,0,0.3991,1.77443446465056,390.69,"0"
"183",360,36000119,16,1,-1.9385,-0.469925112827711,310.6302,"0"
"184",360,36000166,16,0,-2.1165,-0.640825183323575,381.0894,"1"
"185",360,36000025,16,0,-1.596,-0.141086494036512,397.9592,"0"
"186",360,36000165,16,1,-1.6751,-0.217031413004056,422.0202,"1"
"187",360,36000387,16,0,-0.3946,1.01239297053501,344.9483,"0"
"188",360,36000025,16,0,-0.9848,0.445734422182995,425.5093,"0"
"189",360,36000231,16,1,-0.7227,0.697379975424377,336.2277,"1"
"190",360,36000236,16,0,-0.828,0.596280102260251,360.7481,"0"
"191",360,36000054,16,1,-2.4266,-0.938556148833505,343.4594,"1"
"192",360,36000218,16,0,-2.625,-1.1290425195435,323.1519,"0"
"193",360,36000066,16,1,-1.6555,-0.198213202994399,473.8692,"1"
"194",360,36000257,16,1,-1.5387,-0.0860720331409327,379.3155,"0"
"195",360,36000008,16,0,0.4329,1.80688627578966,385.6681,"1"
"196",360,36000400,16,1,-1.9832,-0.512842153002796,324.18,"0"
"197",360,36000182,16,1,-1.7653,-0.303633583558702,389.5163,"0"
"198",360,36000047,16,1,-2.915,-1.40747521866598,350.1282,"0"
"199",360,36000132,16,1,-2.6336,-1.13729948924162,292.2438,"0"
"200",360,36000299,16,1,-1.685,-0.226536529284444,351.3145,"0"
"201",360,36000190,16,0,0.5547,1.9238280094211,532.3281,"1"
"202",360,36000408,16,0,-0.4306,0.977828911333602,422.3132,"0"
"203",360,36000196,16,0,-0.394,1.01296903818837,407.9086,"0"
"204",360,36000082,16,0,-1.5423,-0.0895284390610738,434.9882,"0"
"205",360,36000268,16,1,-0.0547,1.33873529616167,322.1414,"1"
"206",360,36000151,16,0,-2.4125,-0.925018558979619,428.0909,"1"
"207",360,36000303,16,1,-1.3539,0.0913568040929757,374.0216,"1"
"208",360,36000345,16,0,-2.3805,-0.894294950800587,401.5678,"0"
"209",360,36000381,16,0,-1.3679,0.0779152255146495,502.5792,"0"
"210",360,36000286,16,1,-0.7889,0.633820511004005,383.5388,"0"
"211",360,36000209,16,1,0.8344,2.19237154716095,471.9662,"1"
"212",360,36000364,16,1,-2.8336,-1.32932204036057,290.0721,"0"
"213",360,36000348,1,0,-0.3144,1.08939401353371,353.6844,"0"
"214",360,36000190,16,1,-0.0496,1.3436318712152,433.532,"0"
